Node,Depth,Value,Alpha,Beta
B1,4,14,46,Infinity
B4,3,14,46,Infinity
A1,2,46,46,Infinity
E4,3,Infinity,46,Infinity
B1,4,4,46,Infinity
E4,3,4,46,Infinity
A1,2,46,46,Infinity
B5,3,Infinity,46,Infinity
B1,4,32,46,Infinity
B5,3,32,46,Infinity
A1,2,46,46,Infinity
C5,3,Infinity,46,Infinity
B1,4,25,46,Infinity
C5,3,25,46,Infinity
A1,2,46,46,Infinity
D5,3,Infinity,46,Infinity
B1,4,23,46,Infinity
D5,3,23,46,Infinity
A1,2,46,46,Infinity
E5,3,Infinity,46,Infinity
B1,4,12,46,Infinity
E5,3,12,46,Infinity
A1,2,46,46,Infinity
A5,1,76,33,76
B1,2,-Infinity,33,76
A1,3,Infinity,33,76
E1,4,14,33,76
A1,3,14,33,76
B1,2,14,33,76
E1,3,Infinity,33,76
A1,4,34,33,76
E1,3,34,33,34
B1,2,34,34,76
A2,3,Infinity,34,76
A1,4,-16,34,76
A2,3,-16,34,76
B1,2,34,34,76
B2,3,Infinity,34,76
A1,4,48,34,76
B2,3,48,34,48
E1,4,38,34,48
B2,3,38,34,38
B1,2,38,38,76
A3,3,Infinity,38,76
A1,4,32,38,76
A3,3,32,38,76
B1,2,38,38,76
B3,3,Infinity,38,76
A1,4,52,38,76
B3,3,52,38,52
E1,4,42,38,52
B3,3,42,38,42
B1,2,42,42,76
C3,3,Infinity,42,76
A1,4,35,42,76
C3,3,35,42,76
B1,2,42,42,76
E3,3,Infinity,42,76
A1,4,7,42,76
E3,3,7,42,76
B1,2,42,42,76
A4,3,Infinity,42,76
A1,4,24,42,76
A4,3,24,42,76
B1,2,42,42,76
B4,3,Infinity,42,76
A1,4,16,42,76
B4,3,16,42,76
B1,2,42,42,76
E4,3,Infinity,42,76
A1,4,6,42,76
E4,3,6,42,76
B1,2,42,42,76
B5,3,Infinity,42,76
A1,4,34,42,76
B5,3,34,42,76
B1,2,42,42,76
C5,3,Infinity,42,76
A1,4,27,42,76
C5,3,27,42,76
B1,2,42,42,76
D5,3,Infinity,42,76
A1,4,25,42,76
D5,3,25,42,76
B1,2,42,42,76
E5,3,Infinity,42,76
A1,4,14,42,76
E5,3,14,42,76
B1,2,42,42,76
A5,1,72,33,72
E1,2,-Infinity,33,72
A1,3,Infinity,33,72
B1,4,14,33,72
A1,3,14,33,72
E1,2,14,33,72
B1,3,Infinity,33,72
A1,4,6,33,72
B1,3,6,33,72
E1,2,14,33,72
A2,3,Infinity,33,72
A1,4,10,33,72
A2,3,10,33,72
E1,2,14,33,72
B2,3,Infinity,33,72
A1,4,2,33,72
B2,3,2,33,72
E1,2,14,33,72
A3,3,Infinity,33,72
A1,4,18,33,72
A3,3,18,33,72
E1,2,18,33,72
B3,3,Infinity,33,72
A1,4,38,33,72
B3,3,38,33,38
B1,4,42,33,38
B3,3,38,33,38
E1,2,38,38,72
C3,3,Infinity,38,72
A1,4,21,38,72
C3,3,21,38,72
E1,2,38,38,72
E3,3,Infinity,38,72
A1,4,-7,38,72
E3,3,-7,38,72
E1,2,38,38,72
A4,3,Infinity,38,72
A1,4,10,38,72
A4,3,10,38,72
E1,2,38,38,72
B4,3,Infinity,38,72
A1,4,2,38,72
B4,3,2,38,72
E1,2,38,38,72
E4,3,Infinity,38,72
A1,4,-8,38,72
E4,3,-8,38,72
E1,2,38,38,72
B5,3,Infinity,38,72
A1,4,20,38,72
B5,3,20,38,72
E1,2,38,38,72
C5,3,Infinity,38,72
A1,4,13,38,72
C5,3,13,38,72
E1,2,38,38,72
D5,3,Infinity,38,72
A1,4,11,38,72
D5,3,11,38,72
E1,2,38,38,72
E5,3,Infinity,38,72
A1,4,0,38,72
E5,3,0,38,72
E1,2,38,38,72
A5,1,58,33,58
root,0,33,33,Infinity
B5,1,Infinity,33,Infinity
A1,2,-Infinity,33,Infinity
B1,3,Infinity,33,Infinity
E1,4,51,33,Infinity
B1,3,51,33,51
A1,2,51,51,Infinity
E1,3,Infinity,51,Infinity
B1,4,37,51,Infinity
E1,3,37,51,Infinity
A1,2,51,51,Infinity
A2,3,Infinity,51,Infinity
B1,4,27,51,Infinity
A2,3,27,51,Infinity
A1,2,51,51,Infinity
B2,3,Infinity,51,Infinity
B1,4,-5,51,Infinity
B2,3,-5,51,Infinity
A1,2,51,51,Infinity
A3,3,Infinity,51,Infinity
B1,4,35,51,Infinity
A3,3,35,51,Infinity
A1,2,51,51,Infinity
B3,3,Infinity,51,Infinity
B1,4,55,51,Infinity
B3,3,55,51,55
E1,4,43,51,55
B3,3,43,51,55
A1,2,51,51,Infinity
C3,3,Infinity,51,Infinity
B1,4,38,51,Infinity
C3,3,38,51,Infinity
A1,2,51,51,Infinity
E3,3,Infinity,51,Infinity
B1,4,10,51,Infinity
E3,3,10,51,Infinity
A1,2,51,51,Infinity
A4,3,Infinity,51,Infinity
B1,4,27,51,Infinity
A4,3,27,51,Infinity
A1,2,51,51,Infinity
B4,3,Infinity,51,Infinity
B1,4,39,51,Infinity
B4,3,39,51,Infinity
A1,2,51,51,Infinity
E4,3,Infinity,51,Infinity
B1,4,9,51,Infinity
E4,3,9,51,Infinity
A1,2,51,51,Infinity
A5,3,Infinity,51,Infinity
B1,4,32,51,Infinity
A5,3,32,51,Infinity
A1,2,51,51,Infinity
C5,3,Infinity,51,Infinity
B1,4,50,51,Infinity
C5,3,50,51,Infinity
A1,2,51,51,Infinity
D5,3,Infinity,51,Infinity
B1,4,28,51,Infinity
D5,3,28,51,Infinity
A1,2,51,51,Infinity
E5,3,Infinity,51,Infinity
B1,4,17,51,Infinity
E5,3,17,51,Infinity
A1,2,51,51,Infinity
B5,1,81,33,81
B1,2,-Infinity,33,81
A1,3,Infinity,33,81
E1,4,19,33,81
A1,3,19,33,81
B1,2,19,33,81
E1,3,Infinity,33,81
A1,4,39,33,81
E1,3,39,33,39
B1,2,39,39,81
A2,3,Infinity,39,81
A1,4,-11,39,81
A2,3,-11,39,81
B1,2,39,39,81
B2,3,Infinity,39,81
A1,4,53,39,81
B2,3,53,39,53
E1,4,43,39,53
B2,3,43,39,43
B1,2,43,43,81
A3,3,Infinity,43,81
A1,4,37,43,81
A3,3,37,43,81
B1,2,43,43,81
B3,3,Infinity,43,81
A1,4,57,43,81
B3,3,57,43,57
E1,4,47,43,57
B3,3,47,43,47
B1,2,47,47,81
C3,3,Infinity,47,81
A1,4,40,47,81
C3,3,40,47,81
B1,2,47,47,81
E3,3,Infinity,47,81
A1,4,12,47,81
E3,3,12,47,81
B1,2,47,47,81
A4,3,Infinity,47,81
A1,4,29,47,81
A4,3,29,47,81
B1,2,47,47,81
B4,3,Infinity,47,81
A1,4,41,47,81
B4,3,41,47,81
B1,2,47,47,81
E4,3,Infinity,47,81
A1,4,11,47,81
E4,3,11,47,81
B1,2,47,47,81
A5,3,Infinity,47,81
A1,4,34,47,81
A5,3,34,47,81
B1,2,47,47,81
C5,3,Infinity,47,81
A1,4,52,47,81
C5,3,52,47,52
E1,4,42,47,52
C5,3,42,47,52
B1,2,47,47,81
D5,3,Infinity,47,81
A1,4,30,47,81
D5,3,30,47,81
B1,2,47,47,81
E5,3,Infinity,47,81
A1,4,19,47,81
E5,3,19,47,81
B1,2,47,47,81
B5,1,77,33,77
E1,2,-Infinity,33,77
A1,3,Infinity,33,77
B1,4,19,33,77
A1,3,19,33,77
E1,2,19,33,77
B1,3,Infinity,33,77
A1,4,11,33,77
B1,3,11,33,77
E1,2,19,33,77
A2,3,Infinity,33,77
A1,4,15,33,77
A2,3,15,33,77
E1,2,19,33,77
B2,3,Infinity,33,77
A1,4,7,33,77
B2,3,7,33,77
E1,2,19,33,77
A3,3,Infinity,33,77
A1,4,23,33,77
A3,3,23,33,77
E1,2,23,33,77
B3,3,Infinity,33,77
A1,4,43,33,77
B3,3,43,33,43
B1,4,47,33,43
B3,3,43,33,43
E1,2,43,43,77
C3,3,Infinity,43,77
A1,4,26,43,77
C3,3,26,43,77
E1,2,43,43,77
E3,3,Infinity,43,77
A1,4,-2,43,77
E3,3,-2,43,77
E1,2,43,43,77
A4,3,Infinity,43,77
A1,4,15,43,77
A4,3,15,43,77
E1,2,43,43,77
B4,3,Infinity,43,77
A1,4,27,43,77
B4,3,27,43,77
E1,2,43,43,77
E4,3,Infinity,43,77
A1,4,-3,43,77
E4,3,-3,43,77
E1,2,43,43,77
A5,3,Infinity,43,77
A1,4,20,43,77
A5,3,20,43,77
E1,2,43,43,77
C5,3,Infinity,43,77
A1,4,38,43,77
C5,3,38,43,77
E1,2,43,43,77
D5,3,Infinity,43,77
A1,4,16,43,77
D5,3,16,43,77
E1,2,43,43,77
E5,3,Infinity,43,77
A1,4,5,43,77
E5,3,5,43,77
E1,2,43,43,77
B5,1,63,33,63
root,0,33,33,Infinity
C5,1,Infinity,33,Infinity
A1,2,-Infinity,33,Infinity
B1,3,Infinity,33,Infinity
E1,4,44,33,Infinity
B1,3,44,33,44
A1,2,44,44,Infinity
E1,3,Infinity,44,Infinity
B1,4,30,44,Infinity
E1,3,30,44,Infinity
A1,2,44,44,Infinity
A2,3,Infinity,44,Infinity
B1,4,20,44,Infinity
A2,3,20,44,Infinity
A1,2,44,44,Infinity
B2,3,Infinity,44,Infinity
B1,4,-12,44,Infinity
B2,3,-12,44,Infinity
A1,2,44,44,Infinity
A3,3,Infinity,44,Infinity
B1,4,28,44,Infinity
A3,3,28,44,Infinity
A1,2,44,44,Infinity
B3,3,Infinity,44,Infinity
B1,4,48,44,Infinity
B3,3,48,44,48
E1,4,36,44,48
B3,3,36,44,48
A1,2,44,44,Infinity
C3,3,Infinity,44,Infinity
B1,4,31,44,Infinity
C3,3,31,44,Infinity
A1,2,44,44,Infinity
E3,3,Infinity,44,Infinity
B1,4,3,44,Infinity
E3,3,3,44,Infinity
A1,2,44,44,Infinity
A4,3,Infinity,44,Infinity
B1,4,20,44,Infinity
A4,3,20,44,Infinity
A1,2,44,44,Infinity
B4,3,Infinity,44,Infinity
B1,4,12,44,Infinity
B4,3,12,44,Infinity
A1,2,44,44,Infinity
E4,3,Infinity,44,Infinity
B1,4,2,44,Infinity
E4,3,2,44,Infinity
A1,2,44,44,Infinity
A5,3,Infinity,44,Infinity
B1,4,25,44,Infinity
A5,3,25,44,Infinity
A1,2,44,44,Infinity
B5,3,Infinity,44,Infinity
B1,4,30,44,Infinity
B5,3,30,44,Infinity
A1,2,44,44,Infinity
D5,3,Infinity,44,Infinity
B1,4,33,44,Infinity
D5,3,33,44,Infinity
A1,2,44,44,Infinity
E5,3,Infinity,44,Infinity
B1,4,10,44,Infinity
E5,3,10,44,Infinity
A1,2,44,44,Infinity
C5,1,74,33,74
B1,2,-Infinity,33,74
A1,3,Infinity,33,74
E1,4,12,33,74
A1,3,12,33,74
B1,2,12,33,74
E1,3,Infinity,33,74
A1,4,32,33,74
E1,3,32,33,74
B1,2,32,33,74
A2,3,Infinity,33,74
A1,4,-18,33,74
A2,3,-18,33,74
B1,2,32,33,74
B2,3,Infinity,33,74
A1,4,46,33,74
B2,3,46,33,46
E1,4,36,33,46
B2,3,36,33,36
B1,2,36,36,74
A3,3,Infinity,36,74
A1,4,30,36,74
A3,3,30,36,74
B1,2,36,36,74
B3,3,Infinity,36,74
A1,4,50,36,74
B3,3,50,36,50
E1,4,40,36,50
B3,3,40,36,40
B1,2,40,40,74
C3,3,Infinity,40,74
A1,4,33,40,74
C3,3,33,40,74
B1,2,40,40,74
E3,3,Infinity,40,74
A1,4,5,40,74
E3,3,5,40,74
B1,2,40,40,74
A4,3,Infinity,40,74
A1,4,22,40,74
A4,3,22,40,74
B1,2,40,40,74
B4,3,Infinity,40,74
A1,4,14,40,74
B4,3,14,40,74
B1,2,40,40,74
E4,3,Infinity,40,74
A1,4,4,40,74
E4,3,4,40,74
B1,2,40,40,74
A5,3,Infinity,40,74
A1,4,27,40,74
A5,3,27,40,74
B1,2,40,40,74
B5,3,Infinity,40,74
A1,4,32,40,74
B5,3,32,40,74
B1,2,40,40,74
D5,3,Infinity,40,74
A1,4,35,40,74
D5,3,35,40,74
B1,2,40,40,74
E5,3,Infinity,40,74
A1,4,12,40,74
E5,3,12,40,74
B1,2,40,40,74
C5,1,70,33,70
E1,2,-Infinity,33,70
A1,3,Infinity,33,70
B1,4,12,33,70
A1,3,12,33,70
E1,2,12,33,70
B1,3,Infinity,33,70
A1,4,4,33,70
B1,3,4,33,70
E1,2,12,33,70
A2,3,Infinity,33,70
A1,4,8,33,70
A2,3,8,33,70
E1,2,12,33,70
B2,3,Infinity,33,70
A1,4,0,33,70
B2,3,0,33,70
E1,2,12,33,70
A3,3,Infinity,33,70
A1,4,16,33,70
A3,3,16,33,70
E1,2,16,33,70
B3,3,Infinity,33,70
A1,4,36,33,70
B3,3,36,33,36
B1,4,40,33,36
B3,3,36,33,36
E1,2,36,36,70
C3,3,Infinity,36,70
A1,4,19,36,70
C3,3,19,36,70
E1,2,36,36,70
E3,3,Infinity,36,70
A1,4,-9,36,70
E3,3,-9,36,70
E1,2,36,36,70
A4,3,Infinity,36,70
A1,4,8,36,70
A4,3,8,36,70
E1,2,36,36,70
B4,3,Infinity,36,70
A1,4,0,36,70
B4,3,0,36,70
E1,2,36,36,70
E4,3,Infinity,36,70
A1,4,-10,36,70
E4,3,-10,36,70
E1,2,36,36,70
A5,3,Infinity,36,70
A1,4,13,36,70
A5,3,13,36,70
E1,2,36,36,70
B5,3,Infinity,36,70
A1,4,18,36,70
B5,3,18,36,70
E1,2,36,36,70
D5,3,Infinity,36,70
A1,4,21,36,70
D5,3,21,36,70
E1,2,36,36,70
E5,3,Infinity,36,70
A1,4,-2,36,70
E5,3,-2,36,70
E1,2,36,36,70
C5,1,56,33,56
root,0,33,33,Infinity
D5,1,Infinity,33,Infinity
A1,2,-Infinity,33,Infinity
B1,3,Infinity,33,Infinity
E1,4,42,33,Infinity
B1,3,42,33,42
A1,2,42,42,Infinity
E1,3,Infinity,42,Infinity
B1,4,28,42,Infinity
E1,3,28,42,Infinity
A1,2,42,42,Infinity
A2,3,Infinity,42,Infinity
B1,4,18,42,Infinity
A2,3,18,42,Infinity
A1,2,42,42,Infinity
B2,3,Infinity,42,Infinity
B1,4,-14,42,Infinity
B2,3,-14,42,Infinity
A1,2,42,42,Infinity
A3,3,Infinity,42,Infinity
B1,4,26,42,Infinity
A3,3,26,42,Infinity
A1,2,42,42,Infinity
B3,3,Infinity,42,Infinity
B1,4,46,42,Infinity
B3,3,46,42,46
E1,4,34,42,46
B3,3,34,42,46
A1,2,42,42,Infinity
C3,3,Infinity,42,Infinity
B1,4,29,42,Infinity
C3,3,29,42,Infinity
A1,2,42,42,Infinity
E3,3,Infinity,42,Infinity
B1,4,1,42,Infinity
E3,3,1,42,Infinity
A1,2,42,42,Infinity
A4,3,Infinity,42,Infinity
B1,4,18,42,Infinity
A4,3,18,42,Infinity
A1,2,42,42,Infinity
B4,3,Infinity,42,Infinity
B1,4,10,42,Infinity
B4,3,10,42,Infinity
A1,2,42,42,Infinity
E4,3,Infinity,42,Infinity
B1,4,0,42,Infinity
E4,3,0,42,Infinity
A1,2,42,42,Infinity
A5,3,Infinity,42,Infinity
B1,4,23,42,Infinity
A5,3,23,42,Infinity
A1,2,42,42,Infinity
B5,3,Infinity,42,Infinity
B1,4,28,42,Infinity
B5,3,28,42,Infinity
A1,2,42,42,Infinity
C5,3,Infinity,42,Infinity
B1,4,41,42,Infinity
C5,3,41,42,Infinity
A1,2,42,42,Infinity
E5,3,Infinity,42,Infinity
B1,4,8,42,Infinity
E5,3,8,42,Infinity
A1,2,42,42,Infinity
D5,1,72,33,72
B1,2,-Infinity,33,72
A1,3,Infinity,33,72
E1,4,10,33,72
A1,3,10,33,72
B1,2,10,33,72
E1,3,Infinity,33,72
A1,4,30,33,72
E1,3,30,33,72
B1,2,30,33,72
A2,3,Infinity,33,72
A1,4,-20,33,72
A2,3,-20,33,72
B1,2,30,33,72
B2,3,Infinity,33,72
A1,4,44,33,72
B2,3,44,33,44
E1,4,34,33,44
B2,3,34,33,34
B1,2,34,34,72
A3,3,Infinity,34,72
A1,4,28,34,72
A3,3,28,34,72
B1,2,34,34,72
B3,3,Infinity,34,72
A1,4,48,34,72
B3,3,48,34,48
E1,4,38,34,48
B3,3,38,34,38
B1,2,38,38,72
C3,3,Infinity,38,72
A1,4,31,38,72
C3,3,31,38,72
B1,2,38,38,72
E3,3,Infinity,38,72
A1,4,3,38,72
E3,3,3,38,72
B1,2,38,38,72
A4,3,Infinity,38,72
A1,4,20,38,72
A4,3,20,38,72
B1,2,38,38,72
B4,3,Infinity,38,72
A1,4,12,38,72
B4,3,12,38,72
B1,2,38,38,72
E4,3,Infinity,38,72
A1,4,2,38,72
E4,3,2,38,72
B1,2,38,38,72
A5,3,Infinity,38,72
A1,4,25,38,72
A5,3,25,38,72
B1,2,38,38,72
B5,3,Infinity,38,72
A1,4,30,38,72
B5,3,30,38,72
B1,2,38,38,72
C5,3,Infinity,38,72
A1,4,43,38,72
C5,3,43,38,43
E1,4,33,38,43
C5,3,33,38,43
B1,2,38,38,72
E5,3,Infinity,38,72
A1,4,10,38,72
E5,3,10,38,72
B1,2,38,38,72
D5,1,68,33,68
E1,2,-Infinity,33,68
A1,3,Infinity,33,68
B1,4,10,33,68
A1,3,10,33,68
E1,2,10,33,68
B1,3,Infinity,33,68
A1,4,2,33,68
B1,3,2,33,68
E1,2,10,33,68
A2,3,Infinity,33,68
A1,4,6,33,68
A2,3,6,33,68
E1,2,10,33,68
B2,3,Infinity,33,68
A1,4,-2,33,68
B2,3,-2,33,68
E1,2,10,33,68
A3,3,Infinity,33,68
A1,4,14,33,68
A3,3,14,33,68
E1,2,14,33,68
B3,3,Infinity,33,68
A1,4,34,33,68
B3,3,34,33,34
B1,4,38,33,34
B3,3,34,33,34
E1,2,34,34,68
C3,3,Infinity,34,68
A1,4,17,34,68
C3,3,17,34,68
E1,2,34,34,68
E3,3,Infinity,34,68
A1,4,-11,34,68
E3,3,-11,34,68
E1,2,34,34,68
A4,3,Infinity,34,68
A1,4,6,34,68
A4,3,6,34,68
E1,2,34,34,68
B4,3,Infinity,34,68
A1,4,-2,34,68
B4,3,-2,34,68
E1,2,34,34,68
E4,3,Infinity,34,68
A1,4,-12,34,68
E4,3,-12,34,68
E1,2,34,34,68
A5,3,Infinity,34,68
A1,4,11,34,68
A5,3,11,34,68
E1,2,34,34,68
B5,3,Infinity,34,68
A1,4,16,34,68
B5,3,16,34,68
E1,2,34,34,68
C5,3,Infinity,34,68
A1,4,29,34,68
C5,3,29,34,68
E1,2,34,34,68
E5,3,Infinity,34,68
A1,4,-4,34,68
E5,3,-4,34,68
E1,2,34,34,68
D5,1,54,33,54
root,0,33,33,Infinity
E5,1,Infinity,33,Infinity
A1,2,-Infinity,33,Infinity
B1,3,Infinity,33,Infinity
E1,4,31,33,Infinity
B1,3,31,33,Infinity
A1,2,31,33,Infinity
E1,3,Infinity,33,Infinity
B1,4,17,33,Infinity
E1,3,17,33,Infinity
A1,2,31,33,Infinity
A2,3,Infinity,33,Infinity
B1,4,7,33,Infinity
A2,3,7,33,Infinity
A1,2,31,33,Infinity
B2,3,Infinity,33,Infinity
B1,4,-25,33,Infinity
B2,3,-25,33,Infinity
A1,2,31,33,Infinity
A3,3,Infinity,33,Infinity
B1,4,15,33,Infinity
A3,3,15,33,Infinity
A1,2,31,33,Infinity
B3,3,Infinity,33,Infinity
B1,4,35,33,Infinity
B3,3,35,33,35
E1,4,23,33,35
B3,3,23,33,35
A1,2,31,33,Infinity
C3,3,Infinity,33,Infinity
B1,4,18,33,Infinity
C3,3,18,33,Infinity
A1,2,31,33,Infinity
E3,3,Infinity,33,Infinity
B1,4,-10,33,Infinity
E3,3,-10,33,Infinity
A1,2,31,33,Infinity
A4,3,Infinity,33,Infinity
B1,4,7,33,Infinity
A4,3,7,33,Infinity
A1,2,31,33,Infinity
B4,3,Infinity,33,Infinity
B1,4,-1,33,Infinity
B4,3,-1,33,Infinity
A1,2,31,33,Infinity
E4,3,Infinity,33,Infinity
B1,4,1,33,Infinity
E4,3,1,33,Infinity
A1,2,31,33,Infinity
A5,3,Infinity,33,Infinity
B1,4,12,33,Infinity
A5,3,12,33,Infinity
A1,2,31,33,Infinity
B5,3,Infinity,33,Infinity
B1,4,17,33,Infinity
B5,3,17,33,Infinity
A1,2,31,33,Infinity
C5,3,Infinity,33,Infinity
B1,4,10,33,Infinity
C5,3,10,33,Infinity
A1,2,31,33,Infinity
D5,3,Infinity,33,Infinity
B1,4,20,33,Infinity
D5,3,20,33,Infinity
A1,2,31,33,Infinity
E5,1,61,33,61
B1,2,-Infinity,33,61
A1,3,Infinity,33,61
E1,4,-1,33,61
A1,3,-1,33,61
B1,2,-1,33,61
E1,3,Infinity,33,61
A1,4,19,33,61
E1,3,19,33,61
B1,2,19,33,61
A2,3,Infinity,33,61
A1,4,-31,33,61
A2,3,-31,33,61
B1,2,19,33,61
B2,3,Infinity,33,61
A1,4,33,33,61
B2,3,33,33,61
B1,2,33,33,61
A3,3,Infinity,33,61
A1,4,17,33,61
A3,3,17,33,61
B1,2,33,33,61
B3,3,Infinity,33,61
A1,4,37,33,61
B3,3,37,33,37
E1,4,27,33,37
B3,3,27,33,37
B1,2,33,33,61
C3,3,Infinity,33,61
A1,4,20,33,61
C3,3,20,33,61
B1,2,33,33,61
E3,3,Infinity,33,61
A1,4,-8,33,61
E3,3,-8,33,61
B1,2,33,33,61
A4,3,Infinity,33,61
A1,4,9,33,61
A4,3,9,33,61
B1,2,33,33,61
B4,3,Infinity,33,61
A1,4,1,33,61
B4,3,1,33,61
B1,2,33,33,61
E4,3,Infinity,33,61
A1,4,3,33,61
E4,3,3,33,61
B1,2,33,33,61
A5,3,Infinity,33,61
A1,4,14,33,61
A5,3,14,33,61
B1,2,33,33,61
B5,3,Infinity,33,61
A1,4,19,33,61
B5,3,19,33,61
B1,2,33,33,61
C5,3,Infinity,33,61
A1,4,12,33,61
C5,3,12,33,61
B1,2,33,33,61
D5,3,Infinity,33,61
A1,4,22,33,61
D5,3,22,33,61
B1,2,33,33,61
E5,1,53,33,53
E1,2,-Infinity,33,53
A1,3,Infinity,33,53
B1,4,-1,33,53
A1,3,-1,33,53
E1,2,-1,33,53
B1,3,Infinity,33,53
A1,4,-9,33,53
B1,3,-9,33,53
E1,2,-1,33,53
A2,3,Infinity,33,53
A1,4,-5,33,53
A2,3,-5,33,53
E1,2,-1,33,53
B2,3,Infinity,33,53
A1,4,-13,33,53
B2,3,-13,33,53
E1,2,-1,33,53
A3,3,Infinity,33,53
A1,4,3,33,53
A3,3,3,33,53
E1,2,3,33,53
B3,3,Infinity,33,53
A1,4,23,33,53
B3,3,23,33,53
E1,2,23,33,53
C3,3,Infinity,33,53
A1,4,6,33,53
C3,3,6,33,53
E1,2,23,33,53
E3,3,Infinity,33,53
A1,4,-22,33,53
E3,3,-22,33,53
E1,2,23,33,53
A4,3,Infinity,33,53
A1,4,-5,33,53
A4,3,-5,33,53
E1,2,23,33,53
B4,3,Infinity,33,53
A1,4,-13,33,53
B4,3,-13,33,53
E1,2,23,33,53
E4,3,Infinity,33,53
A1,4,-11,33,53
E4,3,-11,33,53
E1,2,23,33,53
A5,3,Infinity,33,53
A1,4,0,33,53
A5,3,0,33,53
E1,2,23,33,53
B5,3,Infinity,33,53
A1,4,5,33,53
B5,3,5,33,53
E1,2,23,33,53
C5,3,Infinity,33,53
A1,4,-2,33,53
C5,3,-2,33,53
E1,2,23,33,53
D5,3,Infinity,33,53
A1,4,8,33,53
D5,3,8,33,53
E1,2,23,33,53
E5,1,43,33,43
root,0,33,33,Infinity
